date,type,category,amount
2024-09-25,credit,salary,2969.97
2025-04-13,debit,education,3646.77
2024-09-29,credit,government benefits,1534.5
2024-05-21,debit,finance,3087.77
2025-01-18,debit,education,4631.95
2024-12-23,debit,medical,2075.7
2025-03-27,debit,gambling,808.96
2025-03-13,debit,gambling,835.04
2024-08-29,credit,investments returns,1539.74
2024-07-25,debit,medical,2566.3
2025-01-08,credit,government benefits,3186.64
2025-03-17,debit,shopping,1333.19
2025-02-12,debit,finance,65.3
2024-07-07,credit,government benefits,3434.28
2024-10-28,debit,finance,4519.33
2024-10-06,debit,medical,4542.26
2024-10-25,debit,gambling,4014.18
2024-12-17,credit,salary,3071.53
2024-09-19,debit,medical,1562.73
2024-06-09,debit,personal,3533.28
2025-02-21,credit,investments returns,169.31
2025-04-14,debit,gambling,3746.61
2025-02-10,debit,finance,1632.46
2024-10-31,credit,bank transfer,3964.43
2024-10-23,credit,bank transfer,63.58
2024-06-23,credit,government benefits,1153.98
2024-08-14,debit,education,2966.15
2024-10-13,debit,finance,549.06
2025-01-24,debit,medical,3744.58
2025-02-05,debit,finance,2310.04
2024-11-24,debit,medical,4491.48
2024-09-14,debit,medical,1946.22
2025-01-31,debit,education,1575.44
2025-01-21,debit,personal,1829.13
2024-10-26,debit,education,2909.55
2024-08-02,credit,gambling,2885.03
2024-11-22,credit,salary,4647.56
2024-12-01,debit,finance,1475.13
2024-05-29,credit,salary,82.7
2024-06-03,debit,education,723.43
2025-03-26,credit,refunds,4559.55
2024-11-16,credit,gambling,1905.27
2024-10-29,credit,gambling,2822.96
2024-10-21,debit,education,4794.18
2024-05-16,debit,personal,3864.05
2025-02-18,debit,shopping,4054.02
2025-03-10,debit,finance,415.17
2025-04-08,credit,government benefits,4200.64
2024-12-15,debit,medical,3261.15
2024-12-23,credit,government benefits,4415.47
2025-02-28,credit,bank transfer,1755.77
2024-06-21,credit,bank transfer,2883.47
2024-06-30,debit,finance,3122.12
2024-11-20,debit,medical,2097.21
2024-10-02,debit,shopping,3990.21
2025-03-02,debit,education,2829.72
2025-02-22,debit,education,463.65
2024-08-20,debit,medical,1565.42
2025-04-11,credit,refunds,2216.41
2024-08-08,credit,gambling,2951.4
2025-03-18,debit,gambling,4087.4
2024-11-18,debit,medical,4713.25
2024-08-05,credit,refunds,4236.94
2024-11-25,debit,shopping,989.28
2024-08-05,credit,bank transfer,1058.27
2025-02-18,credit,gambling,714.8
2024-10-04,debit,medical,3028.25
2025-03-17,credit,salary,1333.04
2025-02-10,debit,education,4762.86
2025-04-02,debit,finance,544.99
2025-01-15,credit,investments returns,4472.23
2025-05-06,credit,investments returns,2774.02
2025-05-02,credit,bank transfer,2816.32
2025-03-24,credit,gambling,4514.31
2024-05-22,credit,bank transfer,3243.48
2024-09-11,debit,personal,2072.7
2025-02-12,credit,government benefits,871.13
2024-05-16,credit,bank transfer,2809.14
2024-11-29,debit,shopping,4829.71
2025-03-31,debit,finance,3066.6
2024-09-28,credit,bank transfer,2888.36
2024-11-12,credit,gambling,3551.25
2024-12-09,credit,government benefits,3381.19
2024-09-30,debit,medical,1248.06
2024-09-30,debit,personal,3230.77
2025-04-19,credit,government benefits,2994.6
2024-07-29,credit,bank transfer,2104.49
2024-06-03,credit,refunds,2861.98
2024-12-18,credit,refunds,2999.31
2024-08-31,debit,shopping,1337.5
2024-07-28,credit,investments returns,4362.27
2025-01-15,debit,gambling,3173.42
2024-08-01,credit,salary,477.88
2024-07-13,debit,education,4793.9
2024-07-23,debit,medical,2370.6
2024-05-10,debit,gambling,3136.39
2024-05-29,credit,investments returns,1040.67
2024-09-30,debit,finance,1688.75
2025-02-04,debit,shopping,463.27
2024-11-14,debit,education,4651.77
2025-03-06,debit,finance,392.65
2024-11-28,debit,finance,3397.62
2025-04-19,credit,gambling,1614.01
2024-06-05,debit,medical,1578.56
2024-12-02,credit,salary,3441.17
2025-01-01,debit,shopping,924.63
2024-07-19,credit,investments returns,150.23
2025-02-09,credit,investments returns,2658.47
2025-03-12,credit,refunds,1981.09
2024-09-25,credit,refunds,2089.09
2025-04-14,debit,personal,2542.0
2024-05-30,credit,bank transfer,1987.35
2024-06-20,debit,finance,4544.56
2024-07-31,debit,education,359.33
2024-11-16,credit,gambling,1824.7
2024-07-20,debit,education,4626.39
2025-01-14,debit,education,2986.3
2025-04-23,debit,education,540.1
2024-06-03,debit,medical,2761.47
2024-10-02,debit,medical,4844.12
2025-03-14,credit,salary,957.97
2025-02-03,debit,education,2207.49
2024-11-30,credit,salary,1656.66
2024-11-08,credit,investments returns,2635.11
2024-06-22,debit,medical,4206.76
2025-01-07,debit,education,69.36
2025-03-20,debit,personal,3513.22
2024-08-31,debit,medical,3145.91
2025-04-04,debit,shopping,3473.17
2024-09-29,credit,refunds,3038.43
2025-02-18,debit,medical,3666.09
2025-02-03,debit,personal,4199.51
2024-11-08,debit,shopping,2373.58
2024-08-03,debit,gambling,3126.19
2024-09-27,credit,government benefits,3094.45
2024-12-31,credit,bank transfer,1410.48
2024-11-29,debit,medical,4321.73
2024-10-31,debit,gambling,1427.28
2024-09-30,credit,bank transfer,3795.41
2024-08-09,credit,refunds,1207.61
2024-08-30,debit,finance,320.06
2024-05-07,credit,salary,2814.36
2024-10-12,debit,education,1737.24
2024-08-04,debit,shopping,49.51
2025-01-24,debit,personal,3543.43
2025-02-28,credit,gambling,3846.68
2025-01-16,debit,shopping,173.02
2024-12-17,debit,finance,4724.37
2024-10-21,credit,gambling,855.72
2025-01-31,credit,salary,773.61
2025-03-26,credit,salary,592.12
2024-11-18,debit,medical,4473.23
2025-02-08,credit,gambling,3350.15
2025-04-05,debit,medical,606.04
2025-01-08,debit,education,838.21
2024-10-28,credit,salary,3207.34
2024-07-16,debit,gambling,3636.82
2024-11-25,credit,bank transfer,1449.94
2025-04-14,credit,salary,4081.66
2025-02-11,debit,shopping,283.39
2024-12-24,debit,personal,693.84
2024-09-04,debit,finance,4258.54
2024-08-11,debit,finance,4024.19
2024-07-19,credit,government benefits,820.9
2024-11-24,credit,investments returns,501.4
2024-10-27,debit,finance,3289.71
2024-07-29,credit,salary,3392.71
2025-02-13,credit,bank transfer,1392.74
2024-12-09,debit,personal,3167.34
2024-07-06,credit,government benefits,2150.66
2024-10-07,credit,bank transfer,2650.78
2024-06-16,credit,bank transfer,2105.79
2024-05-22,credit,government benefits,1430.06
2024-07-17,debit,personal,4511.15
2024-11-02,debit,gambling,2395.75
2025-02-24,debit,shopping,1650.71
2025-04-05,debit,shopping,1291.99
2025-03-29,credit,investments returns,4881.79
2025-01-12,credit,refunds,409.59
2024-08-22,debit,gambling,2013.73
2025-01-01,debit,finance,3081.59
2024-12-24,credit,salary,1790.26
2024-08-30,credit,government benefits,1087.19
2024-05-10,credit,investments returns,1089.75
2025-04-17,credit,bank transfer,2918.86
2024-05-07,credit,bank transfer,2889.8
2024-12-06,debit,personal,1766.53
2025-02-10,credit,salary,3907.73
2024-05-25,credit,refunds,2511.96
2024-06-20,credit,government benefits,1178.92
2024-12-22,credit,investments returns,4511.3
2024-05-08,debit,gambling,4568.81
2025-04-16,credit,refunds,4711.91
2025-04-17,debit,medical,3606.22
2025-03-01,credit,gambling,4800.61
2024-07-23,credit,gambling,3163.03
2024-12-24,debit,finance,3454.74
2024-09-01,debit,education,2455.91
2025-04-20,debit,personal,1844.85
2025-04-04,debit,finance,2527.63
2024-12-30,credit,government benefits,249.42
2025-04-02,credit,government benefits,1623.87
2024-07-26,debit,medical,3361.4
2024-06-30,credit,gambling,767.52
2024-07-29,debit,education,4720.9
2025-01-21,debit,gambling,137.23
2025-04-15,debit,gambling,3683.89
2025-02-15,credit,refunds,707.56
2024-07-19,credit,government benefits,2158.14
2025-01-04,debit,gambling,1145.8
2024-11-25,debit,gambling,2839.35
2024-09-07,debit,finance,389.34
2025-04-25,credit,salary,4916.0
2025-01-30,credit,salary,3706.69
2025-01-10,credit,government benefits,883.34
2024-08-27,debit,gambling,336.99
2024-07-10,debit,medical,3643.25
2024-07-27,debit,personal,1590.19
2024-10-28,credit,investments returns,72.61
2024-06-21,credit,government benefits,409.36
2025-02-23,credit,salary,1909.33
2025-02-19,credit,salary,609.81
2024-07-15,credit,salary,3973.88
2025-02-19,credit,salary,3174.35
2024-05-29,debit,gambling,1164.77
2025-04-19,debit,gambling,1592.38
2024-08-04,debit,personal,4352.02
2024-12-17,debit,education,2222.89
2025-03-18,credit,refunds,4956.8
2025-01-05,credit,bank transfer,996.9
2024-05-19,credit,refunds,2957.48
2024-08-10,credit,government benefits,1504.82
2024-05-25,debit,finance,1202.22
2025-02-08,debit,finance,4897.54
2024-11-16,credit,refunds,1064.21
2024-07-02,debit,medical,728.86
2024-08-31,credit,bank transfer,67.06
2024-10-06,credit,refunds,3098.88
2025-03-20,debit,personal,584.56
2024-11-06,debit,education,4935.72
2025-02-28,credit,gambling,1881.92
2025-01-31,debit,shopping,1576.34
2024-05-18,debit,gambling,103.13
2025-03-16,debit,education,2739.95
2024-05-13,credit,investments returns,1600.41
2024-06-17,credit,bank transfer,277.98
2025-04-18,debit,education,2219.23
2024-11-02,credit,government benefits,3845.81
2025-04-13,debit,gambling,2060.99
2024-08-18,credit,gambling,4723.94
2025-01-27,credit,bank transfer,1783.8
2025-04-25,debit,shopping,1569.65
2024-05-09,debit,gambling,2901.49
2025-04-11,debit,education,3912.5
2024-12-15,debit,finance,558.0
2025-05-03,debit,finance,1939.22
2024-12-04,credit,bank transfer,4108.79
2025-01-07,credit,bank transfer,2612.76
2025-01-08,debit,gambling,4882.39
2024-12-29,debit,finance,1724.09
2024-07-09,debit,gambling,3614.2
2024-10-02,credit,salary,3180.16
2025-02-12,credit,investments returns,132.41
2024-12-02,debit,finance,2417.65
2024-06-15,debit,medical,4307.18
2024-07-09,debit,personal,3348.62
2024-07-13,debit,education,3701.32
2024-06-03,debit,finance,2111.76
2025-04-30,debit,personal,3871.9
2024-09-26,debit,medical,1250.09
2024-09-02,debit,personal,3002.16
2024-10-26,debit,education,901.08
2024-12-31,credit,salary,312.02
2025-03-19,debit,personal,1083.32
2024-08-30,debit,finance,1019.25
2024-10-23,credit,salary,2637.47
2024-06-28,credit,investments returns,3268.96
2025-03-04,credit,bank transfer,4067.43
2024-10-13,debit,shopping,855.89
2025-02-07,debit,shopping,4532.14
2025-02-11,debit,medical,4189.89
2025-04-28,debit,gambling,1171.67
2025-04-28,credit,gambling,2463.16
2024-09-13,credit,bank transfer,1083.51
2025-01-06,credit,gambling,3317.91
2024-06-27,credit,gambling,4412.27
2025-04-18,debit,medical,3054.69
2024-06-11,credit,gambling,2565.07
2025-03-25,credit,government benefits,3353.18
2024-05-20,debit,finance,4721.12
2024-08-10,debit,medical,2466.57
2024-12-05,credit,investments returns,2908.16
2025-05-01,debit,shopping,122.71
2024-12-09,debit,gambling,597.27
2024-09-29,debit,gambling,1011.26
2024-10-01,credit,refunds,3667.87
2025-03-05,credit,bank transfer,1103.56
2024-07-17,debit,finance,3402.13
2024-08-18,credit,government benefits,3896.47
2024-12-30,credit,gambling,1749.84
2024-12-14,debit,medical,2419.34
2024-10-05,credit,bank transfer,2276.12
2024-10-09,debit,finance,3066.85
2024-10-20,credit,refunds,235.06
2024-10-31,debit,gambling,1753.03
2024-12-20,debit,shopping,3522.59
2024-08-02,credit,refunds,2820.75
2024-09-27,debit,shopping,986.45
2024-06-14,credit,investments returns,2238.62
2024-09-25,debit,personal,2878.62
2024-07-29,debit,finance,795.62
2024-07-31,debit,education,2136.82
2024-05-16,debit,medical,1072.96
2024-06-07,debit,gambling,1167.25
2024-08-28,credit,refunds,62.96
2024-09-01,credit,salary,997.69
2025-02-05,credit,gambling,1889.47
2024-09-26,credit,investments returns,1469.65
2024-09-15,credit,refunds,1072.05
2025-03-30,credit,bank transfer,2712.95
2024-06-09,debit,personal,4176.62
2024-07-02,credit,gambling,3626.37
2025-04-17,credit,government benefits,561.59
2024-09-06,debit,finance,2462.68
2024-09-14,debit,medical,1421.27
2025-03-29,credit,investments returns,3898.37
2025-03-31,credit,gambling,2679.13
2024-08-11,debit,gambling,2507.5
2024-12-10,debit,gambling,4943.56
2025-02-20,debit,gambling,2847.61
2025-01-04,credit,salary,4788.5
2025-02-07,credit,refunds,1125.78
2024-05-09,debit,medical,4521.8
2024-09-10,debit,medical,4902.0
2024-11-29,debit,medical,3182.0
2024-10-09,debit,finance,3438.27
2025-04-01,debit,shopping,2996.68
2024-06-18,debit,education,181.03
2024-10-20,credit,bank transfer,1455.86
2024-12-31,debit,education,4279.06
2025-01-31,credit,bank transfer,1974.01
2024-05-17,credit,salary,2886.49
2024-08-28,debit,education,647.54
2025-04-10,debit,gambling,3434.82
2024-07-28,debit,finance,1259.24
2025-03-11,debit,finance,4485.19
2025-03-01,debit,finance,1331.77
2025-01-28,debit,personal,2985.2
2024-10-19,debit,shopping,4826.33
2024-09-02,credit,salary,414.08
2024-07-21,credit,salary,4270.21
2025-02-03,credit,government benefits,1684.93
2024-06-06,debit,gambling,319.27
2024-07-09,debit,gambling,1600.34
2025-04-15,debit,finance,3983.12
2025-01-05,credit,salary,1499.05
2025-04-22,credit,refunds,2234.04
2025-03-18,debit,shopping,2422.66
2024-08-23,debit,shopping,3530.21
2024-06-13,debit,finance,880.31
2025-03-31,debit,personal,1659.55
2024-08-11,credit,government benefits,3712.57
2024-07-08,credit,salary,4291.89
2024-08-23,credit,refunds,753.25
2024-05-14,debit,personal,11.41
2025-01-28,debit,shopping,4787.77
2024-11-14,debit,medical,3219.2
2024-07-09,credit,refunds,117.65
2025-04-24,credit,government benefits,3439.45
2024-07-23,debit,finance,2824.86
2025-01-20,debit,personal,3445.95
2024-12-04,debit,shopping,718.37
2024-11-26,credit,government benefits,4572.3
2024-07-23,credit,government benefits,317.0
2024-12-27,debit,gambling,4129.17
2024-08-02,debit,finance,2285.32
2024-06-18,debit,shopping,4097.98
2024-05-22,credit,refunds,1156.77
2025-01-23,debit,medical,3320.88
2024-11-17,debit,personal,4171.81
2024-08-07,debit,medical,2605.77
2024-08-09,credit,bank transfer,3263.38
2024-10-08,credit,salary,3733.76
2024-10-17,debit,personal,4221.71
2025-04-16,credit,refunds,4218.85
2024-10-04,credit,investments returns,2746.57
2024-09-17,credit,refunds,1326.14
2025-01-06,credit,bank transfer,1169.05
2024-05-31,credit,investments returns,2544.37
2024-08-11,credit,gambling,3089.06
2024-10-22,credit,investments returns,2154.13
2024-09-13,debit,personal,3538.78
2024-10-08,credit,refunds,4843.07
2025-04-05,credit,bank transfer,88.14
2025-05-05,debit,personal,1737.14
2025-04-20,credit,government benefits,4367.13
2024-11-11,debit,finance,984.8
2024-10-15,credit,government benefits,3536.96
2025-05-05,credit,salary,3118.01
2025-03-03,credit,government benefits,2927.97
2025-02-22,credit,salary,3779.12
2024-07-28,credit,bank transfer,794.39
2025-03-14,debit,finance,3566.34
2025-02-20,credit,refunds,338.85
2024-12-24,debit,finance,2501.29
2024-10-06,debit,medical,1043.85
2024-09-09,debit,gambling,348.44
2024-07-07,debit,gambling,136.14
2024-10-07,credit,refunds,4028.83
2024-10-09,credit,government benefits,2881.28
2025-02-20,credit,salary,2891.73
2025-03-27,credit,bank transfer,3048.69
2024-06-13,debit,shopping,1770.98
2024-10-30,debit,education,216.52
2024-12-15,debit,shopping,284.32
2024-10-02,debit,education,2048.64
2025-04-30,credit,gambling,142.72
2025-04-10,credit,government benefits,3409.42
2024-07-10,credit,government benefits,1022.03
2024-09-25,debit,shopping,2363.01
2024-08-20,debit,education,2805.68
2024-06-24,debit,shopping,273.15
2025-02-27,debit,gambling,3701.81
2024-07-14,debit,shopping,394.8
2025-04-30,debit,shopping,822.47
2024-06-20,credit,government benefits,2712.35
2024-06-25,debit,education,1827.43
2024-12-11,credit,government benefits,2999.04
2025-04-29,credit,government benefits,2963.9
2024-07-06,credit,investments returns,3604.93
2024-06-14,credit,refunds,1892.78
2025-02-26,credit,gambling,2000.47
2024-11-23,debit,medical,2067.99
2025-03-26,credit,bank transfer,3535.05
2025-03-19,credit,government benefits,1197.57
2024-07-31,credit,salary,74.85
2024-11-25,credit,refunds,1783.88
2025-04-15,debit,finance,1304.3
2025-05-06,credit,salary,3715.42
2025-01-22,debit,education,4816.92
2025-01-11,credit,refunds,785.73
2025-04-02,debit,medical,511.22
2024-11-01,credit,gambling,3195.31
2024-09-29,debit,finance,2529.25
2025-01-05,credit,government benefits,2586.65
2024-08-05,credit,refunds,3504.28
2025-02-28,debit,medical,2276.36
2024-10-26,debit,medical,3604.55
2025-04-02,credit,gambling,4788.55
2024-06-23,debit,finance,1985.29
2025-02-04,debit,education,561.23
2024-12-13,debit,gambling,3196.4
2024-06-11,debit,medical,4374.77
2024-12-14,debit,education,2214.76
2024-06-18,debit,finance,2215.08
2024-05-20,credit,gambling,4706.78
2024-07-19,debit,education,3476.39
2024-08-22,credit,gambling,530.81
2024-05-22,debit,personal,1064.61
2024-09-02,debit,shopping,970.52
2025-04-10,debit,education,2308.25
2024-06-17,debit,finance,3342.75
2024-11-09,credit,refunds,2367.84
2024-11-01,debit,gambling,3826.17
2024-05-19,debit,personal,3160.48
2024-07-11,debit,shopping,1268.97
2024-05-25,debit,medical,2165.33
2024-12-28,credit,investments returns,1397.55
2025-03-17,debit,medical,3075.98
2025-03-14,debit,shopping,1200.71
2024-09-10,credit,salary,2600.46
2024-09-03,debit,shopping,395.16
2024-11-22,debit,medical,2212.61
2024-12-03,debit,education,3894.01
2024-07-30,debit,gambling,3032.19
2024-11-29,debit,medical,4665.28
2024-07-27,credit,salary,4328.07
2024-06-05,debit,medical,4890.28
2025-01-19,credit,salary,2156.16
2025-03-06,credit,gambling,2277.96
2024-10-12,debit,shopping,590.02
2024-12-22,credit,refunds,4979.79
2024-06-23,debit,shopping,308.07
2024-08-14,debit,personal,1821.31
2024-05-30,credit,bank transfer,1969.55
2024-08-28,debit,gambling,104.19
2024-11-08,debit,medical,4572.26
2024-07-13,credit,salary,3414.68
2024-08-04,credit,refunds,4654.67
2024-11-07,debit,medical,2092.94
2024-09-28,debit,personal,2830.13
2025-03-17,credit,bank transfer,100.3
2025-04-13,debit,shopping,1754.7
2024-11-16,debit,personal,2481.66
2024-12-27,debit,medical,3881.33
2024-12-12,debit,medical,3826.98
2024-06-08,credit,gambling,4670.62
2024-08-13,debit,shopping,1148.76
2024-10-25,credit,gambling,1614.87
2024-12-15,credit,government benefits,2253.16
2024-10-18,credit,gambling,3598.34
2024-07-03,credit,salary,2266.39
2024-10-30,credit,salary,2551.65
2024-07-25,credit,salary,2969.81
2024-05-14,debit,education,1434.08
2025-03-22,debit,medical,3996.31
2025-02-14,credit,salary,4668.03
2024-07-14,debit,gambling,241.95
2024-08-05,debit,shopping,279.27
2024-11-05,debit,medical,2215.93
2024-06-21,credit,gambling,2338.66
2024-05-23,debit,personal,2692.65
2024-12-22,debit,education,4786.09
2024-10-21,credit,investments returns,3675.41
2025-01-10,credit,investments returns,993.26
2024-12-08,debit,medical,3007.0
2025-02-10,debit,gambling,166.6
2024-12-10,credit,investments returns,3271.1
2024-12-04,debit,gambling,3894.98
2024-10-16,debit,education,346.5
2025-01-05,credit,refunds,3178.73
2024-11-10,credit,gambling,2542.01
2024-11-06,credit,salary,3289.63
